run, Re, We, Np, Csg, Cls, Als, D1, D2, D3, D4, X1, Y1, X2, Y2, X3, Y3, X4, Y4, MEAN(Wa), STD(Wa), MEAN(La), STD(La) 
1103, 5361, 783, 4, 1.34324e-12, 0.584705, 0.387684, 0.000579609998, 0.000559575521, 0.000829780036, 0.000610456793, 0.00295244787, 0.0319646012, -0.00060160372, 0.0266473443, 0.00199612166, 0.0298804407, -0.000284579407, 0.0283273894, 9.92268674e-07, 2.24889273e-06, 0.00314597487, 2.49106415e-05
1104, 2141, 912, 3, 4.05399e-12, 0.193735, 0.256991, 0.00134499011, 0.00150884025, 0.00103735296, 0, -0.00198164674, 0.0310179766, -0.000161215262, 0.0282503295, 0.00299988618, 0.0319023857, 0, 0, 1.00839634e-06, 5.55143225e-06, 0.00314606891, 3.80517044e-05
1105, 8886, 483, 4, 2.73711e-12, 0.286944, 0.276539, 0.000787657815, 0.000634482482, 0.00126319833, 0.000930784193, 0.00303931493, 0.0320917702, 0.00236378344, 0.0324499694, -0.00333655926, 0.026899789, 0.000901451013, 0.0273167202, 1.00033368e-06, 8.40177177e-07, 0.00314601641, 4.5946437e-06
1106, 6548, 595, 2, 2.2138e-12, 0.354773, 0.424653, 0.00102575789, 0.00132910639, 0, 0, 0.00259461647, 0.0275015784, 0.00116910834, 0.0320533303, 0, 0, 0, 0, 9.93143256e-07, 6.71678589e-07, 0.00314599802, 1.30282017e-05
1107, 4793, 968, 1, 2.06574e-13, 3.80202, 1.94988, 0.000512852922, 0, 0, 0, 0.00371393602, 0.0279797076, 0, 0, 0, 0, 0, 0, 9.83866131e-07, 4.23008235e-09, 0.00314594074, 1.75456984e-07
1108, 7286, 571, 3, 4.48121e-12, 0.175265, 0.262219, 0.00170153582, 0.00159455235, 0.000517521041, 0, -0.00131602003, 0.027022462, 0.00126889528, 0.0314949915, 0.00289081332, 0.026580917, 0, 0, 9.78792254e-07, 1.43545883e-06, 0.00314592405, 1.47881561e-05
1109, 7364, 242, 1, 1.7992e-12, 0.436527, 0.660702, 0.00151354159, 0, 0, 0, 0.00240033137, 0.0275462806, 0, 0, 0, 0, 0, 0, 9.69822956e-07, 3.33256395e-09, 0.00314586782, 1.72952608e-08
1110, 7844, 169, 3, 5.56983e-12, 0.141009, 0.226712, 0.00083446696, 0.00179117632, 0.00178523864, 0, -0.00277369752, 0.0286609353, 0.000284267438, 0.0287594067, 0.0025450188, 0.0282956767, 0, 0, 9.70667613e-07, 3.89223687e-06, 0.00314585523, 1.90153492e-05
1111, 9475, 166, 4, 5.21612e-12, 0.150571, 0.197482, 0.000870751811, 0.00144181979, 0.00127608609, 0.00147509838, -0.000996923519, 0.0319757107, -0.000871461048, 0.0297574108, 0.0013050516, 0.0257590579, 0.000779528442, 0.0302638217, 9.7901505e-07, 6.92533337e-06, 0.00314583197, 1.33691942e-05
1112, 1487, 272, 2, 4.02077e-12, 0.195335, 0.312957, 0.00151298021, 0.00168234702, 0, 0, 0.00145293204, 0.0287690159, -0.00204277246, 0.0278955296, 0, 0, 0, 0, 9.70239644e-07, 7.31966444e-09, 0.00314578149, 5.14508482e-07
1113, 3418, 541, 2, 1.58471e-12, 0.495609, 0.502062, 0.000865291531, 0.00112649515, 0, 0, -0.00339201524, 0.026418047, -0.00197772273, 0.0282114826, 0, 0, 0, 0, 9.61650797e-07, 4.7643163e-09, 0.00314572923, 1.5729098e-07
1114, 9305, 930, 2, 1.70235e-12, 0.46136, 0.499242, 0.000717419275, 0.00128561802, 0, 0, 0.00178535674, 0.0292224988, -0.00169880754, 0.0271511496, 0, 0, 0, 0, 9.53227352e-07, 2.84937488e-09, 0.00314567732, 4.40307785e-08
1115, 9280, 441, 3, 4.60242e-12, 0.170649, 0.251238, 0.000853152638, 0.001215275, 0.00191186433, 0, -0.000591947652, 0.0307114322, -0.00276481792, 0.0287519641, 0.00231790599, 0.0298529383, 0, 0, 9.50426581e-07, 2.17050274e-06, 0.00314567422, 2.13922539e-05
1116, 3557, 693, 4, 8.65667e-12, 0.0907275, 0.154139, 0.00117263426, 0.00137980485, 0.00195772726, 0.00197746946, -0.000284915863, 0.0276521424, 0.0024887431, 0.029098302, 0.000929058058, 0.0298731822, 0.000460599199, 0.0262499861, 9.69932727e-07, 7.20784012e-06, 0.00314576806, 4.3472226e-05
